Status,Survey ID,Participant ID,SEMA participant ID
Complete,ELMO92,A01,266809034
Null,Antr78,A02,
Complete,YAGA91,A03,391446355
Null,JEBO87,A04,123998169
Null,LUBR97,A05,364676631
Complete,Makr94,A06,220416663
Complete,EGSK93,A07,914979446
Null,MEPE78,A08,
Complete,ANVO99,A10,899013720
Complete,WASA98,A12,600624577
Complete,JOZH00,A13,371925744
Complete,LEBI86,A16,495172651
Null,SIYA96,A17,101256414
Complete,JALI79,A18,629641753
Null,SALI97,A19,547649504
Complete,MAPA99,A20,522395045
Complete,YUSH96,A21,159945913
Complete,TOLE91,A22,364081669
Complete,HUDO94,A23,93167977
Null,ANNO77,A24,408894731
Complete,SASU99,A25,13571856
Complete,ETCA90,A26,522638194
Complete,LUTU87,A27,109745906
Complete,MOEL85,A28,588846199
Complete,DHDH97,A29,584062432
Complete,EBRE97,A30,868467976
Null,EMMI99,A31,495965232
S1 complete,MEHO93,A32,351104017
Null,HULA96,A33,220796002
Complete,MILU82,A34,174209590
Complete,DUTA97,A35,170829693
Null,SRSR96,A36,
S1 complete,SHSA89,A37,79402446
Complete,RUKA98,A38,948185846
Null,XIWE00,A39,198624192
S1 complete,ZELE98,A40,767419354
Complete,STCO84,A41,758356324
Complete,FAPA94,A42,248056110
Complete,BUNA94,A43,939015913
Complete,LONO89,A44,836193845
Complete,JOLI97,A45,427664977
Null,SIMO97,A46,860081879
Null,yuzh05/07/2000,A47,438560997
Complete,ACAU94,A48,957371489
Complete,DUCH97,A49,210615684
Null,OLHU1985,A50,107014513
Null,ANHO95,A51,999522656
Null,THVO96,A52,
Complete,Raan93,A53,462460353
Complete,ANKR89,A54,336693404
Null,SWTA01,A55,458103429
Complete ,JICH99,A56,513696826
Complete,DAHA80,A57,713215728
Null,Namc94,A58,
Complete,DISA99,A59,618407209
Complete,hoco97,A60,917865206
Complete,HANG00,A61,946009967
Complete,DASE80,A62,678928213
Complete,NASA97,A63,234782586
Complete,SEWI98,A64,119210200
Null,MASO95,A65,864277657
Complete,FIRU00,A66,514735476
Complete,GEKA99,A67,526409038
Complete,ISNI99,A68,216570731
Complete,ANUM85,A69,777735967
Null,JOON99,A70,447044951
Complete,CHWO01,A71,450013312
Null,NUSA82,A72,
Null,JELE97,A73,596383434
Null,IG85,A74,
Complete,SAMO79,A75,963169149
S1 complete,WACH96,A76,11099805
Complete,IUVI94,A77,28596291
Complete,MILY94,A78,372266359
Complete,EMCO97,A79,413409566
